2024-08-11 15:53:43 status half-installed procps:i386 2:3.3.16-1ubuntu2
2024-08-11 15:53:43 status unpacked procps:i386 2:3.3.16-1ubuntu2
2024-08-11 15:53:43 install sed:i386 <none> 4.7-1
2024-08-11 15:53:43 status half-installed sed:i386 4.7-1
2024-08-11 15:53:43 status unpacked sed:i386 4.7-1
2024-08-11 15:53:43 install sensible-utils:all <none> 0.0.12+nmu1
2024-08-11 15:53:43 status half-installed sensible-utils:all 0.0.12+nmu1
2024-08-11 15:53:44 status unpacked sensible-utils:all 0.0.12+nmu1
2024-08-11 15:53:44 install sysvinit-utils:i386 <none> 2.96-2.1ubuntu1
2024-08-11 15:53:44 status half-installed sysvinit-utils:i386 2.96-2.1ubuntu1
2024-08-11 15:53:44 status unpacked sysvinit-utils:i386 2.96-2.1ubuntu1
2024-08-11 15:53:44 install tar:i386 <none> 1.30+dfsg-7
2024-08-11 15:53:44 status half-installed tar:i386 1.30+dfsg-7
2024-08-11 15:53:44 status unpacked tar:i386 1.30+dfsg-7
2024-08-11 15:53:45 install util-linux:i386 <none> 2.34-0.1ubuntu9
2024-08-11 15:53:45 status half-installed util-linux:i386 2.34-0.1ubuntu9
2024-08-11 15:53:45 status unpacked util-linux:i386 2.34-0.1ubuntu9
2024-08-11 15:53:46 install zlib1g:i386 <none> 1:1.2.11.dfsg-2ubuntu1
2024-08-11 15:53:46 status half-installed zlib1g:i386 1:1.2.11.dfsg-2ubuntu1
2024-08-11 15:53:46 status unpacked zlib1g:i386 1:1.2.11.dfsg-2ubuntu1
2024-08-11 15:53:46 startup packages configure
2024-08-11 15:53:46 configure lsb-base:all 11.1.0ubuntu2 <none>
2024-08-11 15:53:46 status unpacked lsb-base:all 11.1.0ubuntu2
2024-08-11 15:53:46 status half-configured lsb-base:all 11.1.0ubuntu2
2024-08-11 15:53:46 status installed lsb-base:all 11.1.0ubuntu2
2024-08-11 15:53:46 configure libaudit-common:all 1:2.8.5-2ubuntu6 <none>
2024-08-11 15:53:46 status unpacked libaudit-common:all 1:2.8.5-2ubuntu6
2024-08-11 15:53:46 status half-configured libaudit-common:all 1:2.8.5-2ubuntu6
2024-08-11 15:53:46 status installed libaudit-common:all 1:2.8.5-2ubuntu6
2024-08-11 15:53:46 configure libsemanage-common:all 3.0-1build2 <none>
2024-08-11 15:53:46 status unpacked libsemanage-common:all 3.0-1build2
2024-08-11 15:53:47 status half-configured libsemanage-common:all 3.0-1build2
2024-08-11 15:53:47 status installed libsemanage-common:all 3.0-1build2
2024-08-11 15:53:47 configure gcc-10-base:i386 10-20200411-0ubuntu1 <none>
2024-08-11 15:53:47 status unpacked gcc-10-base:i386 10-20200411-0ubuntu1
2024-08-11 15:53:47 status half-configured gcc-10-base:i386 10-20200411-0ubuntu1
2024-08-11 15:53:47 status installed gcc-10-base:i386 10-20200411-0ubuntu1
2024-08-11 15:53:47 configure ncurses-base:all 6.2-0ubuntu2 <none>
2024-08-11 15:53:47 status unpacked ncurses-base:all 6.2-0ubuntu2
2024-08-11 15:53:47 status half-configured ncurses-base:all 6.2-0ubuntu2
2024-08-11 15:53:47 status installed ncurses-base:all 6.2-0ubuntu2
2024-08-11 15:53:48 configure sensible-utils:all 0.0.12+nmu1 <none>
2024-08-11 15:53:48 status unpacked sensible-utils:all 0.0.12+nmu1
2024-08-11 15:53:48 status half-configured sensible-utils:all 0.0.12+nmu1
2024-08-11 15:53:48 status installed sensible-utils:all 0.0.12+nmu1
2024-08-11 15:53:48 configure libcrypt1:i386 1:4.4.10-10ubuntu4 <none>
2024-08-11 15:53:48 status unpacked libcrypt1:i386 1:4.4.10-10ubuntu4
2024-08-11 15:53:48 status half-configured libcrypt1:i386 1:4.4.10-10ubuntu4
2024-08-11 15:53:48 status installed libcrypt1:i386 1:4.4.10-10ubuntu4
2024-08-11 15:53:48 configure libgcc-s1:i386 10-20200411-0ubuntu1 <none>
